step,energy,fmax,time
0,-402.7246398925781,8.477751,0.29975008964538574
1,-403.1931457519531,7.9236584,0.28362274169921875
2,-403.6237487792969,7.342472,0.2941446304321289
3,-404.00787353515625,6.8621783,0.28190183639526367
4,-404.3311462402344,6.533207,0.2728688716888428
5,-404.6407470703125,6.1291237,0.31233668327331543
6,-404.9165344238281,5.6861267,0.30698704719543457
7,-405.1717529296875,5.294908,0.29230356216430664
8,-405.4081726074219,4.9723315,0.3092527389526367
9,-405.6219177246094,4.660225,0.2993786334991455
10,-405.8284912109375,4.3044505,0.28475427627563477
11,-406.0039367675781,4.0692234,0.30007123947143555
12,-406.15130615234375,3.8901846,0.28887224197387695
13,-406.2921142578125,3.6562927,0.3012688159942627
14,-406.425048828125,3.4943392,0.2769908905029297
15,-406.5377197265625,3.4223573,0.31835150718688965
16,-406.6401062011719,3.2637782,0.3038978576660156
17,-406.739013671875,3.0756478,0.2893071174621582
18,-406.8177795410156,2.9249663,0.30924248695373535
19,-406.8861083984375,2.7919242,0.3097057342529297
20,-406.9471435546875,2.6508944,0.2685658931732178
21,-407.01336669921875,2.4575713,0.3106703758239746
22,-407.07159423828125,2.3143628,0.3060426712036133
23,-407.12066650390625,2.2198598,0.29370760917663574
24,-407.16693115234375,2.0888674,0.28106117248535156
25,-407.2096862792969,1.9328617,0.26598501205444336
26,-407.2477111816406,1.7900769,0.2720954418182373
27,-407.2825927734375,1.6425595,0.31390881538391113
28,-407.31109619140625,1.5749702,0.31885504722595215
29,-407.3375244140625,1.4584405,0.2943868637084961
30,-407.36279296875,1.3009275,0.29180359840393066
31,-407.383544921875,1.1953466,0.3159914016723633
32,-407.4046325683594,1.0911882,0.3200409412384033
33,-407.42279052734375,1.0087306,0.31316423416137695
34,-407.44036865234375,0.89429617,0.29500818252563477
35,-407.4555358886719,0.7912192,0.30272555351257324
36,-407.46893310546875,0.68082774,0.2926812171936035
37,-407.4801940917969,0.61171734,0.2901265621185303
38,-407.49005126953125,0.5165128,0.29774045944213867
39,-407.4993591308594,0.39939883,0.28972768783569336
40,-407.5075378417969,0.33396605,0.25745415687561035
41,-407.51495361328125,0.2716253,0.30353379249572754
42,-407.52227783203125,0.2131442,0.31712985038757324
43,-407.5285949707031,0.20434797,0.31899070739746094
44,-407.5347595214844,0.19434078,0.2909421920776367
45,-407.5403747558594,0.18900384,0.3186209201812744
46,-407.5455017089844,0.18408243,0.29470086097717285
47,-407.5504455566406,0.180036,0.283405065536499
48,-407.554931640625,0.17489918,0.2988729476928711
49,-407.55926513671875,0.1753941,0.3169279098510742
50,-407.5635681152344,0.17078058,0.325777530670166
51,-407.5674743652344,0.1642303,0.2977640628814697
52,-407.5711975097656,0.1836865,0.29538416862487793
53,-407.5747985839844,0.16320564,0.29669880867004395
54,-407.57818603515625,0.15788971,0.2780790328979492
55,-407.58148193359375,0.14683035,0.28548121452331543
56,-407.5846252441406,0.1475718,0.307539701461792
57,-407.5876159667969,0.1472946,0.2839686870574951
58,-407.5904846191406,0.13824964,0.2862887382507324
59,-407.5934143066406,0.13534205,0.3139381408691406
60,-407.59619140625,0.1337095,0.31556010246276855
61,-407.5987243652344,0.1292451,0.2959628105163574
62,-407.6011962890625,0.1271334,0.31389665603637695
63,-407.60369873046875,0.13018829,0.3238201141357422
64,-407.6058654785156,0.12283976,0.2691152095794678
65,-407.60809326171875,0.12052359,0.2867467403411865
66,-407.6102600097656,0.11842201,0.3154027462005615
67,-407.6123352050781,0.11609422,0.2960221767425537
68,-407.6143798828125,0.11478013,0.31804847717285156
69,-407.6163635253906,0.11365168,0.29470324516296387
70,-407.6182556152344,0.11235896,0.2964026927947998
71,-407.62005615234375,0.11042654,0.31221485137939453
